Kitap Adı,Kitap Açıklaması,Kategori
Yürüyüşümden İzler Yaşamda ve Siyasette Umudun Yolu,"“HAYAT” bir evin kalbidir. Ev halkını, komşuları, dostları, akrabaları kucaklayan, diğer odalara yaşamı taşıyan canlı alanlardır. Anılarımda pek çok resmi kucaklıyor mahallemizin “Hayatları.”Bugün dünya kenti Bodrum’un kafelerine, butik otellerine, yaşayanlarına, sosyal yaşamına ve geleceğine hizmet etsin istiyorum çocukluğumun anılarındaki BODRUM.Bizim kuşak büyürken, umutla dünyayı değiştirebilmenin telaşına ve derdine düştü. Elbette, insanın mutlaka bir derdi olmalı bu hayatta. İnsan olmanın ağırlığıyla. Yaşama gözlerini açmak bile başlı başına bir sorumluluktur aslında. Doğduğun topluma hi",Anı
Isadora Duncan Dansın Tanrıçası,"Isadora Duncan'ın bu biyografisi bize yüzyılımızın en etkileyici kadınlarından birinin hayatını, hiç okul görmeden dansa başlayışını, dünyanın her köşesinde büyük bir seyirci ve hayran kitlesi toplarken nasıl dansta kendine özgü bir stil geliştirip, doğanın ve bedenin özgürlüğünü başa aldığını anlatıyor...",Biyografi-Otobiyografi
Akıntıya Karşı,"“… Oltanın ucundaki balık şöyle dedi: ‘Yem öyle büyü­lü, çekici, gerçek idi ki; nasıl desem gerçekten daha gerçekti. Şimdi şu son nefesimi verirken itiraf edi­yorum: “Tanrım bunu beklemiyordum’.*Elinizdeki kitap sadece şu mektuptaki cümle yüzün­den kaleme alınmıştır desem yeridir. Çağdaş Küre­sel Medeniyet’in (O iki asırdan beri peşine düşüp yetişmeye çalıştığımız muasır medeniyet) insanlığı getirdiği son durak burasıdır.” Mustafa Kutlu’nun gazete yazılarından derleyerek yazdığı yeni eseri toplumumuzun tüm sorunlarına, eksiklerine, nereden nerelere gelindiğine ışık tutarken, çözümlerini de kel",Deneme
İşte O Adam,"Günümüzde nevrotik denen insanların çoğu başka bir çağda yaşasalardı, nevrotik, yani kendilerine karşı bölünmüş olmazlardı. İnsanların, atalarının mitlerinden kopmadığı, doğanın yalnızca bakılacak bir şey olmadığı ve gerçekten yaşandığı bir dönemde yaşasalardı, bölünmeleri engellenmiş olurdu. Mitlerin yok olmasını hazmedemeyen ve ne yalnızca dış dünyayla, yani bilimin gördüğüye ne de bilgilekle hiçbir ilgisi olmayan entelektüel laf salatalarıyla yetinmeyen insanlardan söz ediyorum.Carls Gustav JUNG (Anılar, Düşler, Düşünceler 1961. s. 159)",Bilimkurgu-Fantazya
Bundan Kimseye Bahsetme,"Jess Tennant üç aydır İngiltere’nin ufak bir sahil kasabasında yaşamaktadır. Geçen yazın sarsıcı olaylarından sonra yeni yeni rahatlamaya başlayan Jess, Cadılar Bayramı’nda gece yarısı Seb Dawson’ı yolun kenarında ölüme terk edilmiş hâlde bulur. Seb başından ciddi şekilde yara almıştır ve hayatta kalamama ihtimali vardır. Her ne kadar Jess, Seb’den hoşlanmıyor olsa da onun ölümü hak ettiğini düşünmemektedir. Polisin bu saldırıyı fazla ciddiye almadığını düşünen Jess, durumu öylece bırakamaz ve meseleyi kendisi ele alır. Jess olayı soruşturdukça Seb’in çok tehlikeli oyunlara karıştığını fark ed",Roman
Bir Cinayet Bin Entrika,"Görünürde yaptıkları işi paravan yaparak görünmeyende malı götürmeye çalışan Ertuğrul, Osman, Orhan ve Murat Hüdavendigâr kardeşlerin ayağına dolaşan bekçi cinayetindeki entrikalar ve sonunda savcıya gelen bir mektupla yaşanan aydınlanma başınızı döndürecek. Her teferruata kadar inceleme yaptığınızda bulunamayan ipuçlarının bazen en kaba ayrıntıda gizli olabileceğini bu romanda göreceksiniz. Soyulan sarraf ve kızını katledenlerin nasıl kendilerini ele verdiklerini okudukça böyle de ahmaklık olur muymuş diyeceksiniz. Birçoğu gerçek hikâyelerden kurgulanmış bu Ankara polisiyesi deyim yerindeyse",Polisiye
Bilimkurgu Manifestosu,"Hayatını bilimkurguya adadıve bilimkurgu onu, o bilimkurguyu şekillendirdi…20. yüzyılın başlarında, adını “olağanüstü-bilimsel roman” olarak belirlediği bilimkurguyu tanımlamak ve kuramsallaştırmak gibi zor bir görev üstlenen Fransız yazar Maurice Renard, entelektüel açıdan kışkırtıcı ve cesur makaleleriyle hem türün gelişimine hem de dönemin edebiyatçılarına yön vermeyi başarmış az sayıda aydından biridir.Jules Verne’den Rosny aîné’ye, Edgar Allan Poe’dan H. G. Wells’e birçok yazarı bilimkurgu çerçevesinde inceleyen Maurice Renard, Fransız Bilimkurgusu’nun kendine has dünyasını teorik zemine",Bilimkurgu-Fantazya
Çırpınan Kanatlar Evi / Karga Krallığı 1,"Kargaları özgür bırak, Fallon,onlar seni kraliçe yapacak.Bir kâhin gelecekte kraliçe olacağımı haber verenekadar yuvarlak kulaklarımın lanetini kırabileceğimihiç düşünmemiştim. Nihayetinde ben büyüyapamayan, hayvanların sevdiği ama tüm safkanperilerin nefret ettiği bir yarımlıktım.Bir safkan peri hariç.Luce prensi Dante Regio, bana ilk öpücüğümüverdiği günden beri kalbimin tek sahibiydi.Birkaç demir kuş heykeli toplamak mevcut kralıdevirip kardeşini yanı başımda hükmetmesi içinkral yapmama yardımcı olacaksa bu define avınaçıkmaya hazırdım.Keşke kehanet beni dünyanın başına nasıl b",Bilimkurgu-Fantazya
Romanovlar’ın Son Evi,"Savaşların ve devrimin gölgesinde yeşeren, sürgün bir aşk hikâyesi... “Rusya’yı çürüyen bir nar gibi düşünmüşümdür hep. Kokuşmuş içini saklayan, dıştan kırmızı ve nefis; ama ikiye bölünce, çekirdekleri ve taneleri kapkara, iğrenç, önüne saçılır. Rusya bana narı hatırlatıyor.” Dünya çapında milyonlarca okura ulaşan Çizgili Pijamalı Çocuk kitabının yazarı John Boyne’un imzasını taşıyan Romanovlar’ın Son Evi, Rus İmparatorluğu’nun çöküş sürecini ustalıkla işlerken yirminci yüzyılı sarsan büyük toplumsal değişimler karşısında hayatın, duyguların, yuva özleminin ve aşkın etkileyici bir portresini s",Polisiye
Akademisyen Olmak,"“Akademisyen Olmak isimli bu eseri, 40 yıl içinde bulunduğum akademideki ve öncesinde diğer kamu kurumlarındaki çalışma hayatımdan bazı anekdotlar ile okuyucuların, özellikle gençlerin meslek seçimleri öncesinde akademik hayat hakkında bilgilendirmek amacıyla kaleme aldım. Gençlerin hayattan beklentileri, yaşlarının verdiği hayata bakış açıları gibi konuları göz önünde bulundurarak akademisyenliğin bütün süreçlerinde karşılaşılabilecekleri gerçekleri, olabildiğince yalın ve objektif olarak aktarmaya çalıştım. Ülkemizin her alanda bilim insanlarına ihtiyacı bulunmakta ve küresel dünya rekabetle",Biyografi-Otobiyografi
Güne Doğan Koşu / Toplu Şiirler 1974-2006,geliyorum ağır bir yükü boşaltmak içinçek denizi içine ey eski limanbir çınarım kıyındakışıyım yıllarınsaçlarımda uzun buzullar arşivimevsimlerden sözcükler boşaltacağımağır ve yasakişleyen zaman çekilen deniz açılan liman,Şiir
Yanan Tanrı / Haşhaş Savaşı 3 (Ciltli),"MİLYONLARIN SESİ OLACAKTI. SON SAVAŞ KAPIDAYDI. Çin’in kanlı yirminci yüzyılından ilham alan, ihanet ve entrika dolu Haşhaş Savaşı serisi, üçüncü ve son kitabıyla bizi bir kez daha acımasız fakat büyüleyici bir mücadelenin ortasına bırakıyor. Nikan’ı işgalci güçlerin elinden kurtaran ve Su Daji ile amansız bir savaşa atılan Rin, müttefiklerinin ihanetine uğramış, ölüme terk edilmişti. Ancak kaybettiklerine rağmen mücadelesinden vazgeçmeye niyeti olmayan Rin, savaşını devam ettirmek için evi bildiği Tikany’ye dönecek ve orada beklenmedik fırsatlar ve tehlikelerle karşılaşacaktı. Nikan’ın gerçek",Bilimkurgu-Fantazya
Yasemin Kokusu,"İstanbul İşletme Enstitüsü Yaratıcı Yazarlık Atölyelerinde,hayali olan arkadaşlarla buluştuk.On iki kadının gözünden, gönlünden, dilinden, on iki hikâye.Her hikâye yaşanmıştır okumayı bilen için.Gelirin yazar payı Omurilik Felçlileri Derneği'ne aktarılacaktır.",Hikâye
Dune Tanrı İmparatoru,"Bilimkurgu edebiyatının en mühim anlatılarından biri olan Dune efsanesi dördüncü kitap Dune Tanrı İmparatoru ile devam ediyor. Dune Çocukları’ndaki olayların üzerinden üç bin yıldan fazla geçmiştir. Dune artık çok farklı bir gezegendir. Fakat değişmeyen bir şey var: Dune’un Tanrı İmparatoru II. Leto. Dune adıyla bilinen Arrakis gezegeninden evreni kontrol eden Tanrı İmparator II. Leto, evrene daha önce tatmadığı uzunlukta bir barış getirmişti. Fakat son yaklaşıyordu. İnsanlığın evrimini ve geleceğini tayin edebilecek tek kişi olan Tanrı İmparator II. Leto nihai zaferine ulaşmak için çok büyük",Bilimkurgu-Fantazya
Hades Sırrı (Cep Boy),"Dünyanın farklı yerlerinde gerçekleştirilen, birbirine benzer izler taşıyan cinayetler Jason Peters’i sıra dışı kayalıklara götürür. Antik dönemde bu kayalıkların, cehenneme giden kapı olduğuna inanılmaktadır. Oldukça gizli olan bir oluşumda yer alan Peters için, bu antik bölge sadece geçmişte yaşanan suçları değil aynı zamanda yakında gerçekleşecek korkunç bir olayın aydınlatılması için de kilit noktada durmaktadır.Gregg Loomis yine aynı başarısını devam ettiriyor. Bu kitap tam bir hazine; heyecan dolu, dinamik, akıcı ve etkileyici. Beklenmedik olaylar sizi sürükleyici bir macera içinde hapse",Polisiye
"Yeni Narsisizm Bilimi Güncel, Kapsamlı, Anlaşılır","Herkes narsist midir? Ufak tefek narsistik meyiller neden çoğu insanda vardır?Büyüklenmeci ve kırılgan narsisizm arasındaki temel fark nedir?Narsisizmle sonuçlanması muhtemel duygusal/zihinsel özellikler nelerdir?Bir narsistle ilişkide olduğunuzu nasıl anlarsınız?Narsisizmle liderlik arasında nasıl bir ilişki vardır?Sosyal medya kültürü narsisizmi besliyor mu? Psikolojinin üzerinde en çok tepinilen kavramlarından biri üzerine, yeni ve güncel literatürden beslenen, uzmanından bir kitap bu. İşin bilimiyle yetinmeyip gerçek vakalardan ve anekdotlardan da güç alıyor. Narsisizmin ne olduğunu (ve ne",Hikâye
Zia Dünyayı Siliyor,"Zia, hislerini tanımlayan mükemmel kelimeyi bulamazsa, o kelimeyi kendisi yaratıyor!Çatı katında her zaman ilginç şeyler barındıran anneannesinin sözlüğünü keşfeden Zia, bu sözlüğün gücünün farkında değil. Anneannesinin bu sözlüğü herkesten saklamasının nedeni, sözlükten çıkarılan kelimelerin hayatımızdan da çıkıyor olması! Liseye yeni başlayan Zia, hem kendisinin hem de sevdiklerinin karşılaştığı zorlukları görünce, sözlükten bazı kelimeleri çıkarmaya karar veriyor. Bunun her şeyi düzelteceğini zanneden Zia, aslında nasıl bir kaosa yol açtığının ise farkında değil. Korkuyu, acıyı, hüznü dünya",Bilimkurgu-Fantazya
Yok Oluş / Ditopya,"GEZEGENİN EN BÜYÜK HASTALIĞI; İNSAN“Neden insanlar vaat edilmiş bir gelecek için şimdilerini feda etmek zorunda kalıyorlar hep? Ya o vaat edilen şey, yaşadığımız anda, acımasızca akıp giden her saniyede bir yerlerdeyse!”“İnsanoğlu, bir şekilde yaşadığı her kıyameti atlatsa bile kendine yeni bir kıyamet yaratacak kadar acımasız ve ilkel duygular barındırıyordu bünyesinde.”Yok Oluş kitabının devamı niteliğindeki roman, birinci kitabın soluksuz akıp giden distopik kurgusunu katlayarak okuyucularını nefes kesen, alışılmışın dışında ve kitabı ellerinden bırakamayacakları yeni bir serüvenin içine çe",Bilimkurgu-Fantazya
Melankolik Kasırgalar,"Melankolik Kasırgalar, içimize çöken sessiz fırtınalara, geçmeyen yaralara şiirle dokunan bir yolculuk… Belki de kurtuluşu melankolinin derin dehlizlerinde ararken okuru da bu kasırgaların tam ortasına çekiyor.Bu kitapta kayboluşlar kadar kabullenişler de var. Yıkımlar kadar yeniden inşalar da… Her dizede, zamana ve insana dair bir sızı duyuluyor. Ama belki de en çok, her şeyin ötesinde bir arayış hissediliyor: Kendini, geçmişi, belki de hiç gelmeyecek bir baharı…Eğer bu satırlarda kendinizden bir parça buluyorsanız, o halde siz de bu kasırganın bir parçasısınız.",Şiir
UTY Günlükleri,"UTY Günlükleri’ne hoş geldiniz.Burada dünyanın karanlık yüzü olan 300’ler komitesi, masonlar, illuminati ve bunlar gibi birçok örgütü, birçok manyağı ve psikopatı göreceksiniz.Burada gördüğünüz şeyler nutkunuzun tutulmasına yol açacak.Hazırsanız UTY Günlükleri başlıyor.",Bilimkurgu-Fantazya
Melezler,"Hominids-İnsansılar’da Robert J. Sawyer, paralel evrenden bir Neanderthal olan unutulmaz karakter, fizikçi Ponter Boddit’i tanıtmıştı bize. Boddit, kendisini bilmediği bir dünyada yabancı haline getiren kuantum bilgisayarı deneyi sırasında, kendi gerçekliğinden bizimkine akıvermişti.İnsansılar ve devamı olan Humans-İnsanlar adlı kitaplarda Sawyer, farklı bir tarih ve toplum görüşüne sahip olan Neanderthal dünyanın sevecen ayrıntılarını göstermişti.Şimdi ise Hybrids-Melezler’de, ilişkilerini sürdürmek için çırpınan Ponter Boddit ile Homo sapiens sevgilisi genetikçi Mary Vaughan’a odaklanıyor. Y",Bilimkurgu-Fantazya
6 Şubat Notları Sana Dair,"Çok “ah!” dedim, çok “ah!” işittim bu süreçte.Havada kalmasın, kendine bir yer bulsun istedim hepimizin “Ah”ı…Hüznümüz isyan olsun. Şimdilik bir kitabın sayfalarında, günü gelince olması gereken yerde!",Anı
Van Gogh’un Kız Kardeşleri,"Sanat tarihinin en önemli isimlerinden olan VincentVan Gogh’un hüzünlü hayat hikâyesi ve trajik ölümübirçok kitaba konu oldu. Türkçe okurun Sevgilim LondraVincent Van Gogh’un Londra’sında Gezinti adlı kitabıylatanıdığı Willem-Jan Verlinden, bu kez büyük ressamınkız kardeşlerini anlatıyor. Dünyanın bugün de en çokkonuşulan ressamlarından biri olan Van Gogh’un hayatınınve sanatının şekillenmesinde kız kardeşlerinin büyüketkileri olmuştu.Van Gogh aile arşivlerinde daha önce yayınlanmamışyazışmaları inceleyerek Vincent’in üç kız kardeşiniağabeylerinin gölgesinden çıkartan bu özenli biyografiçalışm",Biyografi-Otobiyografi
Sokullu Mehmet Paşa,"Osmanlı İmparatorluğu'nun zirve dönemlerinde sadrazamlık yapmış olan Sokullu Mehmet Paşa, devletin en üst noktalarına ulaşan bir devlet adamıdır. Bu kitapta, Ahmet Refik Altınay’ın kaleminden: Boşnak kökenli bu efsane sadrazamın gençlik yıllarından, sadrazamlığa uzanan hikayesine, yaptığı reformlardan, yönetimindeki başarılara ve zorluklara kadar geniş bir perspektiften bakılıyor. Osmanlı tarihinin en önemli sadrazamlarından Sokullu Mehmet Paşa’yı tanımaya hazır mısın?",Biyografi-Otobiyografi
Maria,"1930 larda, Almanya’dan Mustafa Kamal’ı elde etmek için hazırlanan Maria, planı değiştirir, umulmadık değişim geçirir, Mehmet’i Hiristiyan yapmak için çözümler arar, neler neler olur. MARİA romanı okunmadan, Maria anlatılamaz…",Roman
Rüyada Zaman,"İnsanoğlu, değişen ve modernleşen dünyada, geçmişi ne kadar ansa da, doğası gereği, bir daha geriye dönmek istemez.Ancak dünde kalan öyle anılar vardır ki, ılık bir deniz meltemi gibi, ruhumuzda eser durur!... Artık dönemeyeceğimiz mazide onlarla elele dolaşır dururuz….……Kaleme alınan her şey, ölümün elinden bir şeylerin kurtulduğunu gösterir!...",Anı
Hayat Düşler Sokağı Gibiydi,"Hayat düşler sokağıydı. Gençtim geçtim gittim. Aslında hiç çocuk olmadım ben. Hiç oyuncağım olmadı mesela.Ben hayatı hep büyük adamlar gibi ama doludizgin yaşadım.Ben, medeniyetler çağının canlı şahidiyim.Ödevlerimi hep gaz lambası ışığında yaptım ben.Misafirlerimizi el feneri ile karşıladım ve uğurladım.Evimize ilk elektrik bağlandığında 10 yaşındaydım.Evimize siyah beyaz bir Televizyon aldığımızda ise tam 12 yaşımdaydım. Tek kanaldan Cumartesileri Türk filmleri bekleyen kuşağın temsilcisiyim ben.Çatılarda, ağaçların üzerinde çok çubuk anten ayarladım..Oldu muuuu? Görüntü var mııı? diye sesim",Anı
Bir Dilek Tut,"“Ah, size eşlik etmeyi çok isterdim çocuklar, tam şimdi, günün bu saatinde; hem akrep ve yelkovan gün batımını müjdelerken, ne çok isterdim bir bilseniz... Bir kahve daha, dumanı üstünde... Caddeden geçen insanların telaşı, geleceğin korkunç gölgesinden uzakta... Hem de bugünde kalarak, hiçbir şey düşünmeden, ne çok isterdim ama yapamam, dışarı çıkamam, çok üzgünüm.” Belki yakın bir gelecekte... Belki de çok yakın... Ânın bir yansıması diyebileceğimiz sanal bir gelecek kurulsaydı; bu sanal gelecekte kişisel ihtiyaç ve çıkarlarımızın insanlığın topyekûn çıkarlarından daha değerli olamayacağı di",Bilimkurgu-Fantazya
